Word;DocNumber;TF-IDF
THE;'00001 ';1.52
THE;'00002 ';4.93
THE;'00003 ';3.51
THE;'00004 ';2.08
THE;'00005 ';3.78
THE;'00006 ';2.08
THE;'00007 ';1.52
THE;'00008 ';1.96
THE;'00009 ';4.1
THE;'00010 ';4.47
THE;'00011 ';3.05
THE;'00012 ';3.51
THE;'00013 ';4.47
THE;'00014 ';1.33
THE;'00015 ';3.78
THE;'00016 ';5.52
THE;'00017 ';4.47
THE;'00018 ';2.85
THE;'00019 ';1.62
THE;'00020 ';4.93
THE;'00021 ';5.52
THE;'00022 ';3.51
THE;'00023 ';4.47
THE;'00024 ';2.85
THE;'00025 ';5.52
THE;'00026 ';3.05
THE;'00027 ';2.85
THE;'00028 ';4.1
THE;'00029 ';5.52
THE;'00030 ';3.78
THE;'00031 ';2.67
THE;'00032 ';4.93
THE;'00033 ';6.36
THE;'00034 ';2.85
THE;'00035 ';4.93
THE;'00037 ';3.26
THE;'00038 ';4.1
THE;'00039 ';3.78
THE;'00041 ';4.47
THE;'00042 ';4.93
THE;'00043 ';1.62
THE;'00044 ';4.93
THE;'00045 ';4.93
THE;'00046 ';2.51
THE;'00047 ';3.51
THE;'00048 ';3.51
THE;'00049 ';4.1
THE;'00050 ';5.52
THE;'00051 ';3.51
THE;'00052 ';2.67
THE;'00053 ';3.78
THE;'00054 ';5.52
THE;'00055 ';2.35
THE;'00056 ';4.47
THE;'00057 ';6.36
THE;'00058 ';3.05
THE;'00060 ';2.51
THE;'00061 ';4.1
THE;'00062 ';3.78
THE;'00063 ';3.05
THE;'00064 ';3.78
THE;'00065 ';1.96
THE;'00066 ';3.05
THE;'00067 ';2.08
THE;'00068 ';6.36
THE;'00069 ';3.05
THE;'00070 ';4.1
THE;'00071 ';1.73
THE;'00072 ';2.35
THE;'00073 ';1.84
THE;'00074 ';3.51
THE;'00075 ';4.1
THE;'00076 ';3.51
THE;'00077 ';1.73
THE;'00078 ';4.93
THE;'00079 ';3.26
THE;'00080 ';3.05
THE;'00081 ';2.67
THE;'00082 ';6.36
THE;'00083 ';2.67
THE;'00084 ';4.1
THE;'00085 ';4.1
THE;'00086 ';3.51
THE;'00087 ';4.1
THE;'00088 ';5.52
THE;'00089 ';4.93
THE;'00090 ';4.47
THE;'00091 ';2.67
THE;'00092 ';3.78
THE;'00093 ';1.96
THE;'00094 ';3.78
THE;'00095 ';1.84
THE;'00096 ';4.47
THE;'00097 ';4.93
THE;'00098 ';2.08
THE;'00099 ';4.1
THE;'00100 ';1.52
THE;'00101 ';4.47
THE;'00102 ';3.78
THE;'00103 ';3.51
THE;'00104 ';1.62
THE;'00105 ';4.47
THE;'00106 ';2.85
THE;'00107 ';1.62
THE;'00108 ';5.52
THE;'00109 ';3.51
THE;'00110 ';4.1
THE;'00111 ';1.96
THE;'00112 ';3.05
THE;'00113 ';4.1
THE;'00114 ';4.47
THE;'00115 ';4.1
THE;'00116 ';5.52
THE;'00117 ';3.26
THE;'00118 ';2.51
THE;'00119 ';2.85
THE;'00120 ';4.47
THE;'00121 ';2.35
THE;'00122 ';3.51
THE;'00123 ';3.51
THE;'00124 ';2.21
THE;'00125 ';2.67
THE;'00126 ';2.67
THE;'00127 ';4.93
THE;'00130 ';4.47
THE;'00131 ';3.51
THE;'00133 ';2.67
THE;'00134 ';3.78
THE;'00135 ';3.51
THE;'00136 ';3.26
THE;'00137 ';1.84
THE;'00138 ';3.78
THE;'00139 ';4.1
THE;'00140 ';4.93
THE;'00141 ';2.08
THE;'00142 ';4.1
THE;'00143 ';4.93
THE;'00144 ';1.84
THE;'00145 ';2.51
THE;'00146 ';3.78
THE;'00147 ';2.85
THE;'00148 ';3.78
THE;'00149 ';3.51
THE;'00150 ';2.85
THE;'00152 ';4.93
THE;'00153 ';3.51
THE;'00154 ';3.78
THE;'00155 ';5.52
THE;'00156 ';4.47
THE;'00157 ';4.93
THE;'00158 ';5.52
THE;'00159 ';4.1
THE;'00160 ';3.78
THE;'00161 ';4.1
THE;'00162 ';3.05
THE;'00163 ';2.51
THE;'00164 ';4.93
THE;'00165 ';1.43
THE;'00166 ';4.93
THE;'00167 ';6.36
THE;'00169';4.1
THE;'00170';5.52
THE;'00171';5.52
THE;'00172';1.62
THE;'00173';3.26
THE;'00174';3.51
THE;'00175';2.51
THE;'00176';2.21
THE;'00177';3.51
THE;'00178';3.26
THE;'00179';1.96
THE;'00180';3.51
THE;'00181';4.1
THE;'00182';6.36
THE;'00183';4.47
THE;'00184';3.78
THE;'00185';2.67
THE;'00186';3.78
THE;'00187';6.36
THE;'00188';2.85
THE;'00189';2.85
THE;'00190';2.51
THE;'00192';1.52
THE;'00193';4.1
THE;'00194';2.51
THE;'00195';3.26
THE;'00196';3.26
THE;'00197';2.67
THE;'00198';4.93
THE;'00199';3.78
THE;'00200';4.1
THE;'00201';2.21
THE;'00202';2.35
THE;'00203';2.67
THE;'00204';6.36
THE;'00205';4.1
THE;'00206';3.26
THE;'00207';4.47
THE;'00208';2.35
THE;'00209';2.35
THE;'00210';5.52
THE;'00211';4.93
THE;'00212';4.93
THE;'00213';3.26
THE;'00214';4.1
THE;'00215';0.53
THE;'00216';3.26
THE;'00217';3.78
THE;'00218';3.78
THE;'00219';1.73
THE;'00220';3.05
THE;'00221';5.52
THE;'00223';2.67
THE;'00224';4.1
THE;'00225';3.78
THE;'00226';5.52
THE;'00227';4.93
THE;'00228';4.47
THE;'00229';6.36
THE;'00230';4.47
THE;'00231';4.93
THE;'00232';3.78
THE;'00233';3.78
THE;'00234';3.51
THE;'00235';2.08
THE;'00236';1.96
THE;'00237';3.78
THE;'00238';3.05
THE;'00239';2.85
THE;'00240';6.36
THE;'00241';2.67
THE;'00242';3.51
THE;'00243';3.05
THE;'00244';2.85
THE;'00245';3.78
THE;'00246';3.05
THE;'00247';3.05
THE;'00248';2.67
THE;'00249';5.52
THE;'00250';3.05
THE;'00251';2.21
THE;'00252';5.52
THE;'00253';3.05
THE;'00254';3.51
THE;'00255';4.1
THE;'00256';2.51
THE;'00257';3.26
THE;'00258';1.08
THE;'00259';2.85
THE;'00260';2.08
THE;'00261';2.21
THE;'00262';4.93
THE;'00263';1.96
THE;'00264';4.1
THE;'00265';4.1
THE;'00266';4.47
THE;'00267';4.1
THE;'00268';1.0
THE;'00269';4.47
THE;'00270';2.08
THE;'00271';3.51
THE;'00272';3.51
THE;'00273';4.47
THE;'00274';5.52
THE;'00275';4.93
THE;'00276';3.05
THE;'00277';3.05
THE;'00278';1.08
THE;'00279';3.26
THE;'00281';1.73
THE;'00283';2.85
THE;'00284';3.78
THE;'00285';3.78
THE;'00286';3.26
THE;'00287';3.78
THE;'00288';3.51
THE;'00289';5.52
THE;'00290';2.35
THE;'00291';3.51
THE;'00292';3.78
THE;'00293';4.1
THE;'00294';3.26
THE;'00295';3.78
THE;'00296';5.52
THE;'00297';1.73
THE;'00299';3.26
THE;'00300';3.78
THE;'00301';3.26
THE;'00302';3.78
THE;'00303';3.51
THE;'00304';1.73
THE;'00305';1.62
THE;'00306';1.84
THE;'00307';1.33
THE;'00308';3.51
THE;'00309';4.1
THE;'00310';3.05
THE;'00311';4.47
THE;'00312';3.78
THE;'00313';3.26
THE;'00314';1.43
THE;'00315';2.67
THE;'00316';4.93
THE;'00317';2.67
THE;'00318';6.36
THE;'00319';2.85
THE;'00320';1.96
THE;'00321';5.52
THE;'00322';2.85
THE;'00323';3.78
THE;'00324';3.05
THE;'00325';1.25
THE;'00326';2.21
THE;'00327';3.05
THE;'00328';2.67
THE;'00330';3.78
THE;'00331';1.62
THE;'00332';3.51
THE;'00333';0.0
THE;'00334';3.78
THE;'00335';4.1
THE;'00336';4.1
THE;'00337';4.1
THE;'00339';4.93
THE;'00340';4.47
THE;'00341';2.35
THE;'00342';1.96
THE;'00343';3.05
THE;'00344';4.93
THE;'00345';1.0
THE;'00346';3.51
THE;'00347';2.67
THE;'00348';1.33
THE;'00349';3.05
THE;'00350';3.51
THE;'00351';4.1
THE;'00352';3.51
THE;'00353';5.52
THE;'00354';3.78
THE;'00355';1.96
THE;'00356 ';1.73
THE;'00357 ';4.1
THE;'00358 ';2.21
THE;'00359 ';1.25
THE;'00360 ';1.62
THE;'00361 ';4.1
THE;'00362 ';3.51
THE;'00363 ';4.1
THE;'00364 ';4.1
THE;'00365 ';4.93
THE;'00366 ';4.47
THE;'00367 ';1.08
THE;'00368 ';1.73
THE;'00369 ';2.08
THE;'00370 ';2.35
THE;'00371 ';2.67
THE;'00372 ';2.35
THE;'00373 ';2.35
THE;'00374 ';5.52
THE;'00375 ';3.26
THE;'00376 ';6.36
THE;'00377 ';2.21
THE;'00378 ';3.26
THE;'00379 ';4.93
THE;'00380 ';4.47
THE;'00381 ';4.93
THE;'00382 ';4.1
THE;'00383 ';2.67
THE;'00384 ';4.47
